law_content,generated_question,rag_answer_llm,generated_answer,document
"1. Trong việc kết hôn giữa công dân Việt Nam với người nước ngoài, mỗi bên phải tuân theo pháp luật của nước mình về điều kiện kết hôn; nếu việc kết hôn được tiến hành tại cơ quan nhà nước có thẩm quyền của Việt Nam thì người nước ngoài còn phải tuân theo các quy định của Luật này về điều kiện kết hôn. 2. Việc kết hôn giữa những người nước ngoài thường trú ở Việt Nam tại cơ quan có thẩm quyền của Việt Nam phải tuân theo các quy định của Luật này về điều kiện kết hôn. ","Nếu một công dân Việt Nam kết hôn với người nước ngoài tại Việt Nam, họ cần tuân theo những quy định pháp luật nào?","Nếu một công dân Việt Nam kết hôn với người nước ngoài ở Việt Nam, anh ta phải tôn trọng luật pháp của đất nước anh ta về các điều kiện kết hôn, như hôn nhân giữa người Việt Nam và người nước ngoài, và tuân thủ các điều khoản của luật này về điều kiện kết hôn.","Trong việc kết hôn giữa công dân Việt Nam với người nước ngoài, mỗi bên phải tuân theo pháp luật của nước mình về điều kiện kết hôn. Nếu việc kết hôn được tiến hành tại cơ quan nhà nước có thẩm quyền của Việt Nam, người nước ngoài còn phải tuân theo các quy định của Luật Hôn Nhân Và Gia Đình Việt Nam về điều kiện kết hôn.",3d54654f
"Chính phủ quy định chi tiết các điều, khoản được giao trong Luật. Tòa án nhân dân tối cao chủ trì phối hợp với Viện kiểm sát nhân dân tối cao và Bộ Tư pháp hướng dẫn thi hành các điều, khoản được giao trong Luật. Luật này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIII, kỳ họp thứ 7 thông qua ngày 19 tháng 6 năm 2014. CHỦ TỊCH QUỐC HỘI Nguyễn Sinh Hùng ",Luật Hôn Nhân Và Gia Đình được thông qua vào thời gian nào và bởi cơ quan nào?,Luật hôn nhân và gia đình được luật pháp ngày 4 tháng 3 năm 2005 chấp thuận.,"Luật Hôn Nhân Và Gia Đình đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIII, kỳ họp thứ 7 thông qua ngày 19 tháng 6 năm 2014.",eff71113
"1. Nội dung giáo dục mầm non phải bảo đảm phù hợp với sự phát triển tâm sinh lý của trẻ em; hài hòa giữa bảo vệ, chăm sóc, nuôi dưỡng với giáo dục trẻ em; phát triển toàn diện về thể chất, tình cảm, kỹ năng xã hội, trí tuệ, thẩm mỹ; tôn trọng sự khác biệt; phù hợp với các độ tuổi và liên thông với giáo dục tiểu học. 2. Phương pháp giáo dục mầm non được quy định như sau: a) Giáo dục nhà trẻ phải tạo điều kiện thuận lợi cho trẻ em được tích cực hoạt động, vui chơi, tạo sự gắn bó giữa người lớn với trẻ em; kích thích sự phát triển các giác quan, cảm xúc và các chức năng tâm sinh lý; b) Giáo dục mẫu giáo phải tạo điều kiện cho trẻ em được vui chơi, trải nghiệm, tìm tòi, khám phá môi trường xung quanh bằng nhiều hình thức, đáp ứng nhu cầu, hứng thú của trẻ em. ",Nội dung giáo dục mầm non cần đảm bảo những yêu cầu gì theo Luật Giáo Dục?,"Nội dung của giáo dục mầm non bao gồm sự biện minh cho sự hiện diện của các hoạt động giáo dục, tạo ra các điều kiện thuận lợi cho trẻ em, chăm sóc giáo dục, bảo vệ, chăm sóc, nuôi dưỡng, truyền thông, giáo dục cho hành động và tất cả giáo dục, sự tham gia tích cực của trẻ em trong Môi trường xung quanh và khám phá môi trường xung quanh với nhiều hình ảnh.","Nội dung giáo dục mầm non phải bảo đảm phù hợp với sự phát triển tâm sinh lý của trẻ em; hài hòa giữa bảo vệ, chăm sóc, nuôi dưỡng với giáo dục trẻ em; phát triển toàn diện về thể chất, tình cảm, kỹ năng xã hội, trí tuệ, thẩm mỹ; tôn trọng sự khác biệt; phù hợp với các độ tuổi và liên thông với giáo dục tiểu học.",60d219bb
"1. Cha nuôi, mẹ nuôi, con nuôi có quyền và nghĩa vụ của cha, mẹ, con được quy định trong Luật này kể từ thời điểm quan hệ nuôi con nuôi được xác lập theo quy định của Luật nuôi con nuôi. Trong trường hợp chấm dứt việc nuôi con nuôi theo quyết định của Tòa án thì quyền, nghĩa vụ của cha nuôi, mẹ nuôi với con nuôi chấm dứt kể từ ngày quyết định của Tòa án có hiệu lực pháp luật. 2. Quyền, nghĩa vụ của cha đẻ, mẹ đẻ và con đã làm con nuôi của người khác được thực hiện theo quy định của Luật nuôi con nuôi. 3. Quyền, nghĩa vụ giữa cha đẻ, mẹ đẻ và con đẻ được khôi phục kể từ thời điểm quan hệ nuôi con nuôi chấm dứt. Trong trường hợp cha đẻ, mẹ đẻ không còn hoặc không có đủ điều kiện để nuôi con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình thì Tòa án giải quyết việc chấm dứt nuôi con nuôi và chỉ định người giám hộ cho con theo quy định của Bộ luật dân sự. ","Khi nào quyền và nghĩa vụ của cha nuôi, mẹ nuôi với con nuôi chấm dứt?",Các quyền và nghĩa vụ của người cha nuôi và người mẹ được nhận nuôi kết thúc khi mối quan hệ nhận con nuôi được thiết lập theo luật nhận con nuôi.,"Quyền và nghĩa vụ của cha nuôi, mẹ nuôi với con nuôi chấm dứt kể từ ngày quyết định của Tòa án về việc chấm dứt nuôi con nuôi có hiệu lực pháp luật.",094280f6
"Khi đến gần đường giao nhau, người điều khiển phương tiện phải cho xe giảm tốc độ và nhường đường theo quy định sau đây: 1. Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, phải nhường đường cho xe đi đến từ bên phải; 2. Tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến, phải nhường đường cho xe đi bên trái; 3. Tại nơi đường giao nhau giữa đường không ưu tiên và đường ưu tiên hoặc giữa đường nhánh và đường chính thì xe đi từ đường không ưu tiên hoặc đường nhánh phải nhường đường cho xe đi trên đường ưu tiên hoặc đường chính từ bất kỳ hướng nào tới. ","Khi đến gần đường giao nhau không có báo hiệu đi theo vòng xuyến, tôi phải nhường đường như thế nào?",Chiếc xe phải chậm lại và mang lại theo quy định của pháp luật.,"Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, bạn phải nhường đường cho xe đi đến từ bên phải.",2c8ddb11
"1. Đào tạo nhân lực trình độ cao, nâng cao dân trí, bồi dưỡng nhân tài; nghiên cứu khoa học và công nghệ tạo ra tri thức, sản phẩm mới, phục vụ nhu cầu phát triển kinh tế - xã hội, bảo đảm quốc phòng, an ninh, hội nhập quốc tế. 2. Đào tạo người học phát triển toàn diện về đức, trí, thể, mỹ; có tri thức, kỹ năng, trách nhiệm nghề nghiệp; có khả năng nắm bắt tiến bộ khoa học và công nghệ tương xứng với trình độ đào tạo, khả năng tự học, sáng tạo, thích nghi với môi trường làm việc; có tinh thần lập nghiệp, có ý thức phục vụ Nhân dân. ",Mục tiêu của giáo dục đại học theo Luật Giáo Dục là gì?,"Mục tiêu của giáo dục đại học là tăng trí tuệ của mọi người, thúc đẩy tài năng, nghiên cứu khoa học và công nghệ để tạo ra kiến ​​thức mới, tạo ra kết quả, đảm bảo phòng thủ quốc gia, an toàn và hội nhập quốc tế.","Mục tiêu của giáo dục đại học bao gồm đào tạo nhân lực trình độ cao, nâng cao dân trí, bồi dưỡng nhân tài; nghiên cứu khoa học và công nghệ tạo ra tri thức, sản phẩm mới phục vụ phát triển kinh tế - xã hội, bảo đảm quốc phòng, an ninh, hội nhập quốc tế. Đồng thời, giáo dục đại học hướng đến đào tạo người học phát triển toàn diện về đức, trí, thể, mỹ; có tri thức, kỹ năng, trách nhiệm nghề nghiệp; có khả năng nắm bắt tiến bộ khoa học và công nghệ, tự học, sáng tạo, thích nghi với môi trường làm việc; có tinh thần lập nghiệp và ý thức phục vụ Nhân dân.",00640fda
"1. Người mang thai hộ, chồng của người mang thai hộ có quyền, nghĩa vụ như cha mẹ trong việc chăm sóc sức khỏe sinh sản và chăm sóc, nuôi dưỡng con cho đến thời điểm giao đứa trẻ cho bên nhờ mang thai hộ; phải giao đứa trẻ cho bên nhờ mang thai hộ. 2. Người mang thai hộ phải tuân thủ quy định về thăm khám, các quy trình sàng lọc để phát hiện, điều trị các bất thường, dị tật của bào thai theo quy định của Bộ Y tế. 3. Người mang thai hộ được hưởng chế độ thai sản theo quy định của pháp luật về lao động và bảo hiểm xã hội cho đến thời điểm giao đứa trẻ cho bên nhờ mang thai hộ. Trong trường hợp kể từ ngày sinh đến thời điểm giao đứa trẻ mà thời gian hưởng chế độ thai sản chưa đủ 60 ngày thì người mang thai hộ vẫn được hưởng chế độ thai sản cho đến khi đủ 60 ngày. Việc sinh con do mang thai hộ không tính vào số con theo chính sách dân số và kế hoạch hóa gia đình. 4. Bên mang thai hộ có quyền yêu cầu bên nhờ mang thai hộ thực hiện việc hỗ trợ, chăm sóc sức khỏe sinh sản. Trong trường hợp vì lý do tính mạng, sức khỏe của mình hoặc sự phát triển của thai nhi, người mang thai hộ có quyền quyết định về số lượng bào thai, việc tiếp tục hay không tiếp tục mang thai phù hợp với quy định của pháp luật về chăm sóc sức khỏe sinh sản và sinh con bằng kỹ thuật hỗ trợ sinh sản. 5. Trong trường hợp bên nhờ mang thai hộ từ chối nhận con thì bên mang thai hộ có quyền yêu cầu Tòa án buộc bên nhờ mang thai hộ nhận con. ",Người mang thai hộ có được hưởng chế độ thai sản không và thời gian hưởng là bao lâu?,"Làm mẹ thay thế có quyền yêu cầu phe biết ơn về việc làm mẹ, nhưng trong trường hợp của cuộc sống;Người phụ nữ thay thế có quyền quyết định số lượng thai nhi.",Người mang thai hộ được hưởng chế độ thai sản theo quy định của pháp luật về lao động và bảo hiểm xã hội cho đến thời điểm giao đứa trẻ cho bên nhờ mang thai hộ. Trong trường hợp kể từ ngày sinh đến thời điểm giao đứa trẻ mà thời gian hưởng chế độ thai sản chưa đủ 60 ngày thì người mang thai hộ vẫn được hưởng chế độ thai sản cho đến khi đủ 60 ngày.,36d186a0
"1. Vợ chồng có quyền sửa đổi, bổ sung thỏa thuận về chế độ tài sản. 2. Hình thức sửa đổi, bổ sung nội dung của thỏa thuận về chế độ tài sản theo thỏa thuận được áp dụng theo quy định tại Điều 47 của Luật này. ",Vợ chồng có thể thay đổi thỏa thuận về chế độ tài sản của mình không?,"Không, cặp vợ chồng không thể sửa đổi và tích hợp nội dung của thỏa thuận về chế độ tài sản.","Vợ chồng có quyền sửa đổi, bổ sung thỏa thuận về chế độ tài sản. Hình thức sửa đổi, bổ sung nội dung của thỏa thuận về chế độ tài sản được áp dụng theo quy định tại Điều 47 của Luật Hôn Nhân Và Gia Đình.",b33cdce7
"Vợ, chồng có các nghĩa vụ riêng về tài sản sau đây: 1. Nghĩa vụ của mỗi bên vợ, chồng có trước khi kết hôn; 2. Nghĩa vụ phát sinh từ việc chiếm hữu, sử dụng, định đoạt tài sản riêng, trừ trường hợp nghĩa vụ phát sinh trong việc bảo quản, duy trì, tu sửa tài sản riêng của vợ, chồng theo quy định tại khoản 4 Điều 44 hoặc quy định tại khoản 4 Điều 37 của Luật này; 3. Nghĩa vụ phát sinh từ giao dịch do một bên xác lập, thực hiện không vì nhu cầu của gia đình; 4. Nghĩa vụ phát sinh từ hành vi vi phạm pháp luật của vợ, chồng. ",Vợ hoặc chồng có phải chịu trách nhiệm về các nghĩa vụ tài sản riêng của mình không?,Người chồng và vợ có nghĩa vụ sở hữu riêng: 1. Nghĩa vụ của mỗi người chồng có trước khi kết hôn;2. Trừ khi các nghĩa vụ được trình bày để bảo tồn;duy trì và sửa chữa tài sản của họ;Vợ chồng đã có trước khi kết hôn;Trừ khi các nghĩa vụ được trình bày.,"Vợ, chồng có các nghĩa vụ riêng về tài sản sau đây: 1. Nghĩa vụ của mỗi bên vợ, chồng có trước khi kết hôn; 2. Nghĩa vụ phát sinh từ việc chiếm hữu, sử dụng, định đoạt tài sản riêng, trừ trường hợp nghĩa vụ phát sinh trong việc bảo quản, duy trì, tu sửa tài sản riêng của vợ, chồng theo quy định tại khoản 4 Điều 44 hoặc quy định tại khoản 4 Điều 37 của Luật này; 3. Nghĩa vụ phát sinh từ giao dịch do một bên xác lập, thực hiện không vì nhu cầu của gia đình; 4. Nghĩa vụ phát sinh từ hành vi vi phạm pháp luật của vợ, chồng.",6a1cc6bc
"Giáo dục đại học đào tạo trình độ đại học, trình độ thạc sĩ, trình độ tiến sĩ. ",Giáo dục đại học tại Việt Nam đào tạo những trình độ nào?,Tôi không đủ thông tin để trả lời câu hỏi này.,"Giáo dục đại học đào tạo trình độ đại học, trình độ thạc sĩ, trình độ tiến sĩ.",e66c485e
"1. Trường giáo dưỡng có nhiệm vụ giáo dục người chưa thành niên vi phạm pháp luật để đối tượng này rèn luyện, phát triển lành mạnh, trở thành người lương thiện, có khả năng tái hòa nhập vào đời sống xã hội. 2. Bộ trưởng Bộ Công an có trách nhiệm chủ trì, phối hợp với Bộ trưởng Bộ Giáo dục và Đào tạo, Bộ trưởng Bộ Lao động - Thương binh và Xã hội quy định chương trình giáo dục cho trường giáo dưỡng. ",Trường giáo dưỡng có nhiệm vụ gì đối với người chưa thành niên vi phạm pháp luật?,"Cải cách, trở nên trung thực và có thể tái hòa nhập vào đời sống xã hội.","Trường giáo dưỡng có nhiệm vụ giáo dục người chưa thành niên vi phạm pháp luật để đối tượng này rèn luyện, phát triển lành mạnh, trở thành người lương thiện, có khả năng tái hòa nhập vào đời sống xã hội.",3308ef92
"Người học là người đang học tập tại cơ sở giáo dục trong hệ thống giáo dục quốc dân bao gồm: 1. Trẻ em của cơ sở giáo dục mầm non; 2. Học sinh của cơ sở giáo dục phổ thông, lớp đào tạo nghề, trung tâm giáo dục nghề nghiệp - giáo dục thường xuyên, trung tâm giáo dục nghề nghiệp, trường trung cấp, trường dự bị đại học; 3. Sinh viên của trường cao đẳng, trường đại học; 4. Học viên của cơ sở đào tạo thạc sĩ; 5. Nghiên cứu sinh của cơ sở đào tạo tiến sĩ; 6. Học viên theo học chương trình giáo dục thường xuyên. ",Những đối tượng nào được coi là người học theo Luật Giáo Dục?,"Các môn học xem xét luật giáo dục bao gồm đào tạo chuyên nghiệp, đào tạo sinh viên của các tổ chức giáo dục ở độ tuổi mầm non, đào tạo sinh viên đại học, đào tạo liên tục và đào tạo sinh viên chuyên ngành.","Người học là người đang học tập tại cơ sở giáo dục trong hệ thống giáo dục quốc dân, bao gồm: trẻ em của cơ sở giáo dục mầm non; học sinh của cơ sở giáo dục phổ thông, lớp đào tạo nghề, trung tâm giáo dục nghề nghiệp - giáo dục thường xuyên, trung tâm giáo dục nghề nghiệp, trường trung cấp, trường dự bị đại học; sinh viên của trường cao đẳng, trường đại học; học viên của cơ sở đào tạo thạc sĩ; nghiên cứu sinh của cơ sở đào tạo tiến sĩ; và học viên theo học chương trình giáo dục thường xuyên.",d8d5b7a5
"1. Tùy theo loại động vật sống, người kinh doanh vận tải yêu cầu người thuê vận tải bố trí người áp tải để chăm sóc trong quá trình vận tải. 2. Người thuê vận tải chịu trách nhiệm về việc xếp, dỡ động vật sống theo hướng dẫn của người kinh doanh vận tải; trường hợp người thuê vận tải không thực hiện được thì phải trả cước, phí xếp, dỡ cho người kinh doanh vận tải. 3. Việc vận chuyển động vật sống trên đường phải tuân theo quy định của pháp luật về vệ sinh, phòng dịch và bảo vệ môi trường. ","Khi vận chuyển động vật sống trên đường, người thuê vận tải cần tuân thủ những quy định gì?","Vận chuyển động vật sống phải tuân thủ các quy định của luật vệ sinh, bảo vệ môi trường và phòng ngừa dịch bệnh.","Khi vận chuyển động vật sống trên đường, người thuê vận tải cần tuân thủ các quy định của pháp luật về vệ sinh, phòng dịch và bảo vệ môi trường. Ngoài ra, người thuê vận tải phải chịu trách nhiệm về việc xếp, dỡ động vật sống theo hướng dẫn của người kinh doanh vận tải. Nếu không thực hiện được, người thuê vận tải phải trả cước, phí xếp, dỡ cho người kinh doanh vận tải.",e287b488
"1. Khi vợ hoặc chồng yêu cầu ly hôn mà hòa giải tại Tòa án không thành thì Tòa án giải quyết cho ly hôn nếu có căn cứ về việc vợ, chồng có hành vi bạo lực gia đình hoặc vi phạm nghiêm trọng quyền, nghĩa vụ của vợ, chồng làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài, mục đích của hôn nhân không đạt được. 2. Trong trường hợp vợ hoặc chồng của người bị Tòa án tuyên bố mất tích yêu cầu ly hôn thì Tòa án giải quyết cho ly hôn. 3. Trong trường hợp có yêu cầu ly hôn theo quy định tại khoản 2 Điều 51 của Luật này thì Tòa án giải quyết cho ly hôn nếu có căn cứ về việc chồng, vợ có hành vi bạo lực gia đình làm ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe, tinh thần của người kia. ",Trong trường hợp nào Tòa án sẽ giải quyết cho ly hôn theo yêu cầu của một bên?,"Có, trong trường hợp này, tòa án sẽ quyết tâm ly hôn theo yêu cầu của một phần.","Tòa án sẽ giải quyết cho ly hôn nếu có căn cứ về việc vợ hoặc chồng có hành vi bạo lực gia đình hoặc vi phạm nghiêm trọng quyền, nghĩa vụ của vợ, chồng làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài, mục đích của hôn nhân không đạt được. Ngoài ra, trong trường hợp vợ hoặc chồng của người bị Tòa án tuyên bố mất tích yêu cầu ly hôn, Tòa án cũng sẽ giải quyết cho ly hôn.",63501459
"1. Tiếng Việt là ngôn ngữ chính thức dùng trong cơ sở giáo dục. Căn cứ vào mục tiêu giáo dục và yêu cầu cụ thể về nội dung giáo dục, Chính phủ quy định việc dạy và học bằng tiếng nước ngoài trong cơ sở giáo dục. 2. Nhà nước khuyến khích, tạo điều kiện để người dân tộc thiểu số được học tiếng nói, chữ viết của dân tộc mình theo quy định của Chính phủ; người khuyết tật nghe, nói được học bằng ngôn ngữ ký hiệu, người khuyết tật nhìn được học bằng chữ nổi Braille theo quy định của Luật Người khuyết tật. 3. Ngoại ngữ quy định trong chương trình giáo dục là ngôn ngữ được sử dụng phổ biến trong giao dịch quốc tế. Việc tổ chức dạy ngoại ngữ trong cơ sở giáo dục phải bảo đảm để người học được học liên tục, hiệu quả. ",Ngôn ngữ chính thức được sử dụng trong các cơ sở giáo dục ở Việt Nam là gì?,Ngôn ngữ chính thức được sử dụng trong các tổ chức giáo dục ở Việt Nam là người Việt Nam.,"Tiếng Việt là ngôn ngữ chính thức dùng trong cơ sở giáo dục. Tuy nhiên, căn cứ vào mục tiêu giáo dục và yêu cầu cụ thể về nội dung giáo dục, Chính phủ có thể quy định việc dạy và học bằng tiếng nước ngoài trong cơ sở giáo dục.",1095c99a
"1. Người kinh doanh vận tải hành khách có các quyền sau đây: a) Thu cước, phí vận tải; b) Từ chối vận chuyển trước khi phương tiện rời bến xe, rời vị trí đón, trả hành khách theo hợp đồng vận chuyển những người đã có vé hoặc người trong danh sách hợp đồng có hành vi gây rối trật tự công cộng, gây cản trở công việc của người kinh doanh vận tải, ảnh hưởng đến sức khoẻ, tài sản của người khác, gian lận vé hoặc hành khách đang bị dịch bệnh nguy hiểm. 2. Người kinh doanh vận tải hành khách có các nghĩa vụ sau đây: a) Thực hiện đầy đủ các cam kết về chất lượng vận tải, hợp đồng vận tải; b) Mua bảo hiểm cho hành khách; phí bảo hiểm được tính vào giá vé hành khách; c) Giao vé, chứng từ thu cước, phí vận tải cho hành khách; d) Bồi thường thiệt hại do người làm công, người đại diện gây ra trong khi thực hiện công việc được người kinh doanh vận tải giao; đ) Chịu trách nhiệm về hậu quả mà người làm công, người đại diện gây ra do thực hiện yêu cầu của người kinh doanh vận tải trái quy định của Luật này. 3. Bộ trưởng Bộ Tài chính chủ trì, phối hợp với Bộ trưởng Bộ Giao thông vận tải quy định về vé và chứng từ thu cước, phí vận tải hành khách. ",Người kinh doanh vận tải hành khách có quyền từ chối vận chuyển hành khách trong trường hợp nào?,Không có câu trả lời trong bối cảnh,"Người kinh doanh vận tải hành khách có quyền từ chối vận chuyển trước khi phương tiện rời bến xe, rời vị trí đón, trả hành khách theo hợp đồng vận chuyển những người đã có vé hoặc người trong danh sách hợp đồng có hành vi gây rối trật tự công cộng, gây cản trở công việc của người kinh doanh vận tải, ảnh hưởng đến sức khoẻ, tài sản của người khác, gian lận vé hoặc hành khách đang bị dịch bệnh nguy hiểm.",fc2fbd8d
"Khi ly hôn nếu bên khó khăn, túng thiếu có yêu cầu cấp dưỡng mà có lý do chính đáng thì bên kia có nghĩa vụ cấp dưỡng theo khả năng của mình. ","Khi ly hôn, nếu một bên gặp khó khăn tài chính, bên kia có nghĩa vụ cấp dưỡng không?","Nếu một phần có khó khăn về tài chính, phần khác của hỗ trợ.","Khi ly hôn, nếu bên khó khăn, túng thiếu có yêu cầu cấp dưỡng và có lý do chính đáng, bên kia có nghĩa vụ cấp dưỡng theo khả năng của mình.",98aefc90
"1. Quyền, nghĩa vụ tài sản của vợ chồng đối với người thứ ba vẫn có hiệu lực sau khi ly hôn, trừ trường hợp vợ chồng và người thứ ba có thỏa thuận khác. 2. Trong trường hợp có tranh chấp về quyền, nghĩa vụ tài sản thì áp dụng quy định tại các điều 27, 37 và 45 của Luật này và quy định của Bộ luật dân sự để giải quyết. ","Khi ly hôn, quyền và nghĩa vụ tài sản của vợ chồng đối với người thứ ba có còn hiệu lực không?",Quyền và nghĩa vụ của cặp vợ chồng đối với người thứ ba vẫn còn hiệu lực sau khi ly hôn.,"Quyền, nghĩa vụ tài sản của vợ chồng đối với người thứ ba vẫn có hiệu lực sau khi ly hôn, trừ trường hợp vợ chồng và người thứ ba có thỏa thuận khác.",c1d63340
"1. Trên đoạn đường bộ giao nhau cùng mức với đường sắt, cầu đường bộ đi chung với đường sắt, phương tiện giao thông đường sắt được quyền ưu tiên đi trước. 2. Tại nơi đường bộ giao nhau cùng mức với đường sắt có đèn tín hiệu, rào chắn và chuông báo hiệu, khi đèn tín hiệu mầu đỏ đã bật sáng, có tiếng chuông báo hiệu, rào chắn đang dịch chuyển hoặc đã đóng, người tham gia giao thông đường bộ phải dừng lại phía phần đường của mình và cách rào chắn một khoảng cách an toàn; khi đèn tín hiệu đã tắt, rào chắn mở hết, tiếng chuông báo hiệu ngừng mới được đi qua. 3. Tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu, khi đèn tín hiệu mầu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu, người tham gia giao thông đường bộ phải dừng ngay lại và giữ khoảng cách tối thiểu 5 mét tính từ ray gần nhất; khi đèn tín hiệu đã tắt hoặc tiếng chuông báo hiệu ngừng mới được đi qua. 4. Tại nơi đường bộ giao nhau cùng mức với đường sắt không có đèn tín hiệu, rào chắn và chuông báo hiệu, người tham gia giao thông đường bộ phải quan sát cả hai phía, khi thấy chắc chắn không có phương tiện đường sắt đang đi tới mới được đi qua, nếu thấy có phương tiện đường sắt đang đi tới thì phải dừng lại và giữ khoảng cách tối thiểu 5 mét tính từ ray gần nhất và chỉ khi phương tiện đường sắt đã đi qua mới được đi. 5. Khi phương tiện tham gia giao thông đường bộ bị hư hỏng tại nơi đường bộ giao nhau cùng mức với đường sắt hoặc trong phạm vi an toàn đường sắt thì người điều khiển phương tiện phải bằng mọi cách nhanh nhất đặt báo hiệu trên đường sắt cách tối thiểu 500 mét về hai phía để báo cho người điều khiển phương tiện đường sắt và tìm cách báo cho người quản lý đường sắt, nhà ga nơi gần nhất, đồng thời phải bằng mọi biện pháp nhanh chóng đưa phương tiện ra khỏi phạm vi an toàn đường sắt. 6. Những người có mặt tại nơi phương tiện tham gia giao thông đường bộ bị hư hỏng trên đoạn đường bộ giao nhau cùng mức với đường sắt có trách nhiệm giúp đỡ người điều khiển phương tiện đưa phương tiện ra khỏi phạm vi an toàn đường sắt. ",Tôi cần làm gì khi gặp đèn tín hiệu màu đỏ và rào chắn đang đóng tại nơi đường bộ giao nhau cùng mức với đường sắt?,Bạn phải dừng lại và giữ khoảng cách an toàn với hàng rào.,"Khi đèn tín hiệu màu đỏ đã bật sáng, có tiếng chuông báo hiệu, rào chắn đang dịch chuyển hoặc đã đóng, người tham gia giao thông đường bộ phải dừng lại phía phần đường của mình và cách rào chắn một khoảng cách an toàn. Khi đèn tín hiệu đã tắt, rào chắn mở hết, tiếng chuông báo hiệu ngừng, bạn mới được đi qua.",aafaff10
"1. Khi một bên vợ, chồng chết hoặc bị Tòa án tuyên bố là đã chết thì bên còn sống quản lý tài sản chung của vợ chồng, trừ trường hợp trong di chúc có chỉ định người khác quản lý di sản hoặc những người thừa kế thỏa thuận cử người khác quản lý di sản. 2. Khi có yêu cầu về chia di sản thì tài sản chung của vợ chồng được chia đôi, trừ trường hợp vợ chồng có thỏa thuận về chế độ tài sản. Phần tài sản của vợ, chồng chết hoặc bị Tòa án tuyên bố là đã chết được chia theo quy định của pháp luật về thừa kế. 3. Trong trường hợp việc chia di sản ảnh hưởng nghiêm trọng đến đời sống của vợ hoặc chồng còn sống, gia đình thì vợ, chồng còn sống có quyền yêu cầu Tòa án hạn chế phân chia di sản theo quy định của Bộ luật dân sự. 4. Tài sản của vợ chồng trong kinh doanh được giải quyết theo quy định tại các khoản 1, 2 và 3 Điều này, trừ trường hợp pháp luật về kinh doanh có quy định khác. ","Khi một người vợ hoặc chồng chết, ai sẽ quản lý tài sản chung của vợ chồng?",Một phần chết khi một phần quyền sở hữu chung của cặp vợ chồng đã chết hoặc được tòa án tuyên bố.,"Khi một bên vợ hoặc chồng chết hoặc bị Tòa án tuyên bố là đã chết, bên còn sống sẽ quản lý tài sản chung của vợ chồng, trừ trường hợp trong di chúc có chỉ định người khác quản lý di sản hoặc những người thừa kế thỏa thuận cử người khác quản lý di sản.",145c53b2
"1. Tổ chức giao thông gồm các nội dung sau đây: a) Phân làn, phân luồng, phân tuyến và quy định thời gian đi lại cho người và phương tiện tham gia giao thông đường bộ; b) Quy định các đoạn đường cấm đi, đường đi một chiều, nơi cấm dừng, cấm đỗ, cấm quay đầu xe; lắp đặt báo hiệu đường bộ; c) Thông báo khi có sự thay đổi về việc phân luồng, phân tuyến, thời gian đi lại tạm thời hoặc lâu dài; thực hiện các biện pháp ứng cứu khi có sự cố xảy ra và các biện pháp khác về đi lại trên đường bộ để bảo đảm giao thông thông suốt, an toàn. 2. Trách nhiệm tổ chức giao thông quy định như sau: a) Bộ trưởng Bộ Giao thông vận tải chịu trách nhiệm tổ chức giao thông trên hệ thống quốc lộ; b) Chủ tịch Ủy ban nhân dân cấp tỉnh chịu trách nhiệm tổ chức giao thông trên các hệ thống đường bộ thuộc phạm vi quản lý. 3. Trách nhiệm điều khiển giao thông của cảnh sát giao thông như sau: a) Chỉ huy, điều khiển giao thông trên đường; hướng dẫn, bắt buộc người tham gia giao thông chấp hành quy tắc giao thông; b) Khi có tình huống gây ách tắc giao thông hoặc có yêu cầu cần thiết khác về bảo đảm an ninh, trật tự được tạm thời đình chỉ đi lại ở một số đoạn đường nhất định, phân lại luồng, phân lại tuyến và nơi tạm dừng xe, đỗ xe. ",Ai là người chịu trách nhiệm tổ chức giao thông trên hệ thống quốc lộ theo Luật Giao Thông Đường Bộ?,Tổ chức giao thông trên đường cao tốc quốc gia theo luật giao thông đường bộ được quản lý bởi Hiệp hội Giao thông vận tải.,Bộ trưởng Bộ Giao thông vận tải chịu trách nhiệm tổ chức giao thông trên hệ thống quốc lộ.,ca9492b0
